timeStamp,elapsed,label,responseCode,responseMessage,success,failureMessage,Latency,IdleTime,Connect
1778511399412,11,Out,200,,true,,4,0,0
1778511399423,7,H,200,,true,,7,0,0
1778511399431,7,L,200,,true,,1,0,0
1778511399438,23,LP,200,,true,,10,0,0
1778511399462,24,LatP,200,,true,,12,0,0
1778511399487,17,Ad,200,,true,,3,0,0
1778511399504,21,LP_D,200,,true,,8,0,0
1778511399527,18,Ad2,200,,true,,4,0,0
1778511399546,8,Out,200,,true,,3,0,0
1778511399554,5,H,200,,true,,4,0,0
1778511399559,6,L,200,,true,,1,0,0
1778511399566,15,LP,200,,true,,7,0,0
1778511399582,24,LatP,200,,true,,17,0,0
1778511399607,37,Ad,200,,true,,6,0,0
1778511399644,25,LP_D,200,,true,,17,0,0
1778511399670,37,Ad2,200,,true,,7,0,0
1778511399708,14,Out,200,,true,,5,0,0
1778511399722,8,H,200,,true,,7,0,0
1778511399731,10,L,200,,true,,1,0,0
1778511399741,25,LP,200,,true,,17,0,0
1778511399767,36,LatP,200,,true,,29,0,0
1778511399804,54,Ad,200,,true,,6,0,0
1778511399858,27,LP_D,200,,true,,19,0,0
1778511399886,37,Ad2,200,,true,,6,0,0
1778511399924,14,Out,200,,true,,5,0,0
1778511399938,8,H,200,,true,,8,0,0
1778511399946,9,L,200,,true,,2,0,0
1778511399956,25,LP,200,,true,,16,0,0
1778511399982,36,LatP,200,,true,,28,0,0
1778511400019,34,Ad,200,,true,,5,0,0
1778511400053,29,LP_D,200,,true,,20,0,0
1778511400083,38,Ad2,200,,true,,7,0,0
1778511400121,16,Out,200,,true,,5,0,0
1778511400137,8,H,200,,true,,8,0,0
1778511400146,9,L,200,,true,,1,0,0
1778511400155,27,LP,200,,true,,17,0,0
1778511400182,37,LatP,200,,true,,29,0,0
1778511400219,26,Ad,200,,true,,5,0,0
1778511400246,21,LP_D,200,,true,,12,0,0
1778511400268,28,Ad2,200,,true,,5,0,0
1778511400296,11,Out,200,,true,,4,0,0
1778511400307,7,H,200,,true,,6,0,0
1778511400314,8,L,200,,true,,2,0,0
1778511400322,23,LP,200,,true,,13,0,0
1778511400346,36,LatP,200,,true,,26,0,0
